name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Fernando Cabada (M),2:27:53,55,55,NA,NA,NA,NA,NA,NA,Clovis,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Evan Gaynor (M),2:27:59,56,56,NA,NA,NA,NA,NA,NA,Perrysburg,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Benjamin Zywicki (M),2:28:01,57,57,NA,NA,NA,NA,NA,NA,Louisville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Zachary Ripley (M),2:28:01,58,58,NA,NA,NA,NA,NA,NA,Rockford,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Matt Daniels (M),2:28:13,59,59,NA,NA,NA,NA,NA,NA,Evergreen,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Mark Leininger (M),2:28:17,60,60,NA,NA,NA,NA,NA,NA,Greenville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Brandon Mull (M),2:28:20,61,61,NA,NA,NA,NA,NA,NA,Chicago,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Mohamed Hrezi (M),2:28:24,62,62,NA,NA,NA,NA,NA,NA,Rochester,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Andrew Lesser (M),2:29:04,63,63,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Robert Curtis (M),2:29:04,64,64,NA,NA,NA,NA,NA,NA,Rochester Hills,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Josh Dedering (M),2:29:09,65,65,NA,NA,NA,NA,NA,NA,Minneapolis,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
John Dewitt (M),2:29:13,66,66,NA,NA,NA,NA,NA,NA,Oshkosh,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Justin Young (M),2:29:15,67,67,NA,NA,NA,NA,NA,NA,Louisville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Carlos Trujilll (M),2:29:24,68,68,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jarrett Leblanc (M),2:29:30,69,69,NA,NA,NA,NA,NA,NA,The Woodlands,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jesse Davis (M),2:29:39,70,70,NA,NA,NA,NA,NA,NA,Indianapolis,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jacob Sienko (M),2:30:14,71,71,NA,NA,NA,NA,NA,NA,Warwick,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Brian Atkinson (M),2:30:22,72,72,NA,NA,NA,NA,NA,NA,Melbourne Beach,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Patrick Rizzo (M),2:30:43,73,73,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Brandon York (M),2:31:02,74,74,NA,NA,NA,NA,NA,NA,Madison,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Gabriel Proctor (M),2:31:09,75,75,NA,NA,NA,NA,NA,NA,Mammoth Lakes,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Joseph Gray (M),2:31:20,76,76,NA,NA,NA,NA,NA,NA,Lakewood,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Chris Kwiatkowski (M),2:31:35,77,77,NA,NA,NA,NA,NA,NA,Arlingto,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
David Laney (M),2:31:46,78,78,NA,NA,NA,NA,NA,NA,Portland,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Tanner Fruit (M),2:32:13,79,79,NA,NA,NA,NA,NA,NA,Colorado Springs,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jeremy Criscione (M),2:32:56,80,80,NA,NA,NA,NA,NA,NA,Gainesville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Sean Brown (M),2:32:56,81,81,NA,NA,NA,NA,NA,NA,Aurora,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Alan Peterson (M),2:33:31,82,82,NA,NA,NA,NA,NA,NA,Bessemer,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Tyler Andrews (M),2:33:40,83,83,NA,NA,NA,NA,NA,NA,Concord,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
