"name_age","match_name","full_name","marathon","year","date","time","time_minutes"
"Julius Keter (M27)","JULIUS KETER","JULIUS KETER","Cal Intl Marathon",2015,"2015-12-06","2:15:10",135.166666666667
"Meshack Kirwa (M41)","MESHACK KIRWA","MESHACK KIRWA","Cal Intl Marathon",2015,"2015-12-06","2:15:47",135.783333333333
"Mason Frank (M26)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2015,"2015-12-06","2:18:34",138.566666666667
"Azerya Teklay (M37)","AZERYA TEKLAY","AZERYA TEKLAY","Cal Intl Marathon",2015,"2015-12-06","2:18:38",138.633333333333
"Brandon Mull (M30)","BRANDON MULL","BRANDON MULL","Cal Intl Marathon",2015,"2015-12-06","2:18:44",138.733333333333
"David Le Porho (M38)","DAVID LE PORHO","DAVID LE PORHO","Cal Intl Marathon",2015,"2015-12-06","2:19:37",139.616666666667
"Sage Canaday (M30)","SAGE CANADAY","SAGE CANADAY","Cal Intl Marathon",2015,"2015-12-06","2:19:51",139.85
"Matt Hensley (M28)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2015,"2015-12-06","2:20:13",140.216666666667
"Jose Madera (M24)","JOSE MADERA","JOSE MADERA","Cal Intl Marathon",2015,"2015-12-06","2:20:28",140.466666666667
"Matt Duffy (M25)","MATT DUFFY","MATT DUFFY","Cal Intl Marathon",2015,"2015-12-06","2:21:02",141.033333333333
"Gregory Leak (M27)","GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2015,"2015-12-06","2:21:09",141.15
"Crosby Freeman (M31)","CROSBY FREEMAN","CROSBY FREEMAN","Cal Intl Marathon",2015,"2015-12-06","2:21:10",141.166666666667
"Matthew Blume (M34)","MATTHEW BLUME","MATTHEW BLUME","Cal Intl Marathon",2015,"2015-12-06","2:21:14",141.233333333333
"Eric Noel (M28)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2015,"2015-12-06","2:21:31",141.516666666667
"Chris Mocko (M29)","CHRIS MOCKO","CHRIS MOCKO","Cal Intl Marathon",2015,"2015-12-06","2:22:36",142.6
"Benjamin Eversole (M23)","BENJAMIN EVERSOLE","BENJAMIN EVERSOLE","Cal Intl Marathon",2015,"2015-12-06","2:23:26",143.433333333333
"Jason Simpson (M31)","JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2015,"2015-12-06","2:23:28",143.466666666667
"Joseph Elsakr (M25)","JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2015,"2015-12-06","2:23:32",143.533333333333
"Nelson Oyugi (M24)","NELSON OYUGI","NELSON OYUGI","Cal Intl Marathon",2016,"2016-12-04","2:11:41",131.683333333333
"Elisha Barno (M31)","ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2016,"2016-12-04","2:11:52",131.866666666667
"Daniel Tapia (M30)","DANIEL TAPIA","DANIEL TAPIA","Cal Intl Marathon",2016,"2016-12-04","2:12:28",132.466666666667
"Eric Fernandez (M26)","ERIC FERNANDEZ","ERIC FERNANDEZ","Cal Intl Marathon",2016,"2016-12-04","2:14:09",134.15
"Scott MacPherson (M29)","SCOTT MACPHERSON","SCOTT MACPHERSON","Cal Intl Marathon",2016,"2016-12-04","2:14:17",134.283333333333
"Kiplangat Terer (M31)","KIPLANGAT TERER","KIPLANGAT TERER","Cal Intl Marathon",2016,"2016-12-04","2:16:29",136.483333333333
"Jacob Chemtai (M29)","JACOB CHEMTAI","JACOB CHEMTAI","Cal Intl Marathon",2016,"2016-12-04","2:17:04",137.066666666667
"Eric Finan (M27)","ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2016,"2016-12-04","2:17:51",137.85
"Brendan Gregg (M27)","BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2016,"2016-12-04","2:18:33",138.55
"Robert Winslow (M28)","ROBERT WINSLOW","ROBERT WINSLOW","Cal Intl Marathon",2016,"2016-12-04","2:19:47",139.783333333333
"John Raneri (M25)","JOHN RANERI","JOHN RANERI","Cal Intl Marathon",2016,"2016-12-04","2:19:56",139.933333333333
"David Sinclair (M24)","DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2016,"2016-12-04","2:20:58",140.966666666667
"Eric Noel (M29)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2016,"2016-12-04","2:21:05",141.083333333333
"Ramiro Guillen (M34)","RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2016,"2016-12-04","2:21:29",141.483333333333
"Matthew Fecht (M33)","MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2016,"2016-12-04","2:22:17",142.283333333333
"Alex Wilson (M24)","ALEX WILSON","ALEX WILSON","Cal Intl Marathon",2016,"2016-12-04","2:22:43",142.716666666667
"Dylan Belles (M23)","DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2016,"2016-12-04","2:23:48",143.8
"Steven Tyler Underwood (M29)","STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2016,"2016-12-04","2:23:55",143.916666666667
"Mason Frank (M27)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2016,"2016-12-04","2:24:45",144.75
"Timothy Ritchie (M30)","TIMOTHY RITCHIE","TIMOTHY RITCHIE","Cal Intl Marathon",2017,"2017-12-03","2:11:56",131.933333333333
"Kiya Dandena (M28)","KIYA DANDENA","KIYA DANDENA","Cal Intl Marathon",2017,"2017-12-03","2:12:56",132.933333333333
"Samuel Kosgei (M33)","SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2017,"2017-12-03","2:13:25",133.416666666667
"Malcolm Richards (M35)","MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2017,"2017-12-03","2:13:28",133.466666666667
"Craig Leon (M33)","CRAIG LEON","CRAIG LEON","Cal Intl Marathon",2017,"2017-12-03","2:13:41",133.683333333333
"Christopher Zablocki (M29)","CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Cal Intl Marathon",2017,"2017-12-03","2:13:45",133.75
"Tim Young (M30)","TIMOTHY YOUNG","TIM YOUNG","Cal Intl Marathon",2017,"2017-12-03","2:14:14",134.233333333333
"Nathan Martin (M27)","NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2017,"2017-12-03","2:14:33",134.55
"David Sinclair (M25)","DAVID SINCLAIR","DAVID SINCLAIR","Cal Intl Marathon",2017,"2017-12-03","2:16:17",136.283333333333
"Eric Finan (M28)","ERIC FINAN","ERIC FINAN","Cal Intl Marathon",2017,"2017-12-03","2:16:42",136.7
"Gregory Leak (M29)","GREGORY LEAK","GREGORY LEAK","Cal Intl Marathon",2017,"2017-12-03","2:16:56",136.933333333333
"Fernando Cabada (M35)","FERNANDO CABADA","FERNANDO CABADA","Cal Intl Marathon",2017,"2017-12-03","2:17:07",137.116666666667
"Patrick Rizzo (M34)","PATRICK RIZZO","PATRICK RIZZO","Cal Intl Marathon",2017,"2017-12-03","2:17:27",137.45
"Eric Loeffler (M40)","ERIC LOEFFLER","ERIC LOEFFLER","Cal Intl Marathon",2017,"2017-12-03","2:17:34",137.566666666667
"Mason Frank (M28)","MASON FRANK","MASON FRANK","Cal Intl Marathon",2017,"2017-12-03","2:17:39",137.65
"Matthew Fecht (M34)","MATTHEW FECHT","MATTHEW FECHT","Cal Intl Marathon",2017,"2017-12-03","2:17:40",137.666666666667
"Chris Chavez (M31)","CHRIS CHAVEZ","CHRIS CHAVEZ","Cal Intl Marathon",2017,"2017-12-03","2:18:01",138.016666666667
"Steven Tyler Underwood (M30)","STEVEN TYLER UNDERWOOD","STEVEN TYLER UNDERWOOD","Cal Intl Marathon",2017,"2017-12-03","2:18:20",138.333333333333
"Eric Ashe (M29)","ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2017,"2017-12-03","2:19:06",139.1
"Brian Harvey (M30)","BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2017,"2017-12-03","2:19:18",139.3
"Matt Hensley (M30)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2017,"2017-12-03","2:22:08",142.133333333333
"Eric Noel (M30)","ERIC NOEL","ERIC NOEL","Cal Intl Marathon",2017,"2017-12-03","2:23:12",143.2
"Joseph Elsakr (M27)","JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2017,"2017-12-03","2:23:17",143.283333333333
"Nicholas Arciniaga (M34)","NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Cal Intl Marathon",2017,"2017-12-03","2:26:41",146.683333333333
"Matt Llano (M30)","MATT LLANO","MATT LLANO","Cal Intl Marathon",2018,"2018-12-02","2:13:00",133
"Brendan Gregg (M29)","BRENDAN GREGG","BRENDAN GREGG","Cal Intl Marathon",2018,"2018-12-02","2:13:28",133.466666666667
"Nathan Martin (M28)","NATHAN MARTIN","NATHAN MARTIN","Cal Intl Marathon",2018,"2018-12-02","2:14:33",134.55
"Samuel Kosgei (M34)","SAMUEL KOSGEI","SAMUEL KOSGEI","Cal Intl Marathon",2018,"2018-12-02","2:15:04",135.066666666667
"Malcolm Richards (M36)","MALCOLM RICHARDS","MALCOLM RICHARDS","Cal Intl Marathon",2018,"2018-12-02","2:16:48",136.8
"Brian Harvey (M31)","BRIAN HARVEY","BRIAN HARVEY","Cal Intl Marathon",2018,"2018-12-02","2:17:48",137.8
"Dylan Belles (M25)","DYLAN BELLES","DYLAN BELLES","Cal Intl Marathon",2018,"2018-12-02","2:18:11",138.183333333333
"Jason Simpson (M34)","JASON SIMPSON","JASON SIMPSON","Cal Intl Marathon",2018,"2018-12-02","2:18:41",138.683333333333
"Ramiro Guillen (M36)","RAMIRO GUILLEN","RAMIRO GUILLEN","Cal Intl Marathon",2018,"2018-12-02","2:18:50",138.833333333333
"Kieran O'Connor (M31)","KIERAN O'CONNOR","KIERAN O'CONNOR","Cal Intl Marathon",2018,"2018-12-02","2:18:52",138.866666666667
"Ryan Cosens (M29)","RYAN COSENS","RYAN COSENS","Cal Intl Marathon",2018,"2018-12-02","2:18:55",138.916666666667
"Matt Hensley (M31)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2018,"2018-12-02","2:20:43",140.716666666667
"Eric Ashe (M30)","ERIC ASHE","ERIC ASHE","Cal Intl Marathon",2018,"2018-12-02","2:21:05",141.083333333333
"Joseph Elsakr (M28)","JOSEPH ELSAKR","JOSEPH ELSAKR","Cal Intl Marathon",2018,"2018-12-02","2:21:51",141.85
"Nick Arciniaga (M35)","NICK ARCINIAGA","NICK ARCINIAGA","Cal Intl Marathon",2018,"2018-12-02","2:23:46",143.766666666667
"Elisha Barno (M34)","ELISHA BARNO","ELISHA BARNO","Cal Intl Marathon",2019,"2019-12-08","2:13:36",133.6
"Patrick Smyth (M33)","PATRICK SMYTH","PATRICK SMYTH","Cal Intl Marathon",2019,"2019-12-08","2:13:48",133.8
"Zachary Hine (M32)","ZACHARY HINE","ZACHARY HINE","Cal Intl Marathon",2019,"2019-12-08","2:16:36",136.6
"Joseph Moore (M36)","JOE MOORE","JOSEPH MOORE","Cal Intl Marathon",2019,"2019-12-08","2:17:27",137.45
"Andy Williams (M32)","ANDY WILLIAMS","ANDY WILLIAMS","Cal Intl Marathon",2019,"2019-12-08","2:17:49",137.816666666667
"Patrick Rizzo (M36)","PATRICK RIZZO","PATRICK RIZZO","Cal Intl Marathon",2019,"2019-12-08","2:17:53",137.883333333333
"Charlie Hurt (M36)","CHARLIE HURT","CHARLIE HURT","Cal Intl Marathon",2019,"2019-12-08","2:18:30",138.5
"Adam Bohach (M35)","ADAM BOHACH","ADAM BOHACH","Cal Intl Marathon",2019,"2019-12-08","2:20:18",140.3
"Matt Hensley (M32)","MATT HENSLEY","MATT HENSLEY","Cal Intl Marathon",2019,"2019-12-08","2:20:26",140.433333333333
"Benjamin Zywicki (M31)","BENJAMIN P. ZYWICKI","BENJAMIN ZYWICKI","Cal Intl Marathon",2019,"2019-12-08","2:22:39",142.65
"Dickson Chumba (M)","DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2015,"2015-10-11","2:09:25",129.416666666667
"Sammy Kitwara (M)","SAMMY KITWARA","SAMMY KITWARA","Chicago Marathon",2015,"2015-10-11","2:09:50",129.833333333333
"Sammy Ndungu (M)","SAMMY NDUNGU","SAMMY NDUNGU","Chicago Marathon",2015,"2015-10-11","2:10:06",130.1
"Girmay Birhanu Gebru (M)","GIRMAY BIRHANU GEBRU","GIRMAY BIRHANU GEBRU","Chicago Marathon",2015,"2015-10-11","2:10:07",130.116666666667
"Luke Puskedra (M)","LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2015,"2015-10-11","2:10:24",130.4
"Wesley Korir (M)","WESLEY KORIR","WESLEY KORIR","Chicago Marathon",2015,"2015-10-11","2:10:39",130.65
"Elkanah Kibet (M)","ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2015,"2015-10-11","2:11:31",131.516666666667
"Lucas Rotich (M)","LUCAS ROTICH","LUCAS ROTICH","Chicago Marathon",2015,"2015-10-11","2:13:39",133.65
"Abera Kuma (M)","ABERA KUMA","ABERA KUMA","Chicago Marathon",2015,"2015-10-11","2:13:44",133.733333333333
"Fernando Cabada (M)","FERNANDO CABADA","FERNANDO CABADA","Chicago Marathon",2015,"2015-10-11","2:15:36",135.6
"Liam Adams (M)","LIAM ADAMS","LIAM ADAMS","Chicago Marathon",2015,"2015-10-11","2:16:29",136.483333333333
