activity_id,shoes,device,suffer
2749868464,b'Nike Next zoom Vaporfly 4%\n(99.5 mi)',b'\xe2\x80\x94',b'558'
985153472,b'\xe2\x80\x94',b'Garmin Forerunner 410',b'\xe2\x80\x94'
550581028,b'Brooks Adrenaline GTS\n(567.8 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
555702277,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'852'
1525414378,b'adidas Adizero tempo AKTIV\n(416.2 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1960547341,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
2749365678,b'Nike Vaporfly Next%\n(75.0 mi)',b'Garmin Forerunner 935',b'\xe2\x80\x94'
1524478753,b'Nike Vaporfly #1\n(74.5 mi)',b'Garmin f\xc4\x93nix 3',b'306'
946519191,b'Brooks PureCadence\n(313.5 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1262851667,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5S',b'293'
761220254,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2292144163,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2749260812,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'546'
1262934040,b'Nike Pegasus 33\n(414.0 mi)',b'Garmin Forerunner 235',b'663'
837776421,b'New Balance MR00\n(303.4 mi)',b'\xe2\x80\x94',b'429'
1320204878,b'\xe2\x80\x94',b'Garmin Forerunner 225',b'410'
2786276610,b'Skechers GoMeb\n(182.1 mi)',b'Garmin Forerunner 235',b'453'
1946326690,b'Nike Vaporfly 4% Flyknit\n(254.0 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2786221889,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2292293637,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1512681962,"b'Saucony Guide\n(15,107.3 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
2292643934,b'Nike Vaporfly 4% Flyknit\n(96.9 mi)',b'Garmin Forerunner 25',b'\xe2\x80\x94'
1890581443,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'256'
1262960415,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'321'
549794134,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
966190146,b'adidas adios boost\n(373.5 mi)',b'Garmin Forerunner 235',b'286'
293690931,b'adidas Adizero Tempo 6\n(324.4 mi)',b'\xe2\x80\x94',b'\xe2\x80\x94'
1845103760,b'Nike zoom vaporfly 4% 2\n(69.5 mi)',b'Garmin f\xc4\x93nix 5',b'437'
1263278436,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'\xe2\x80\x94'
1946658558,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
947961572,b'Brooks Launch\n(125.3 mi)',b'Garmin Forerunner 910XT',b'830'
897539719,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1959891518,b'\xe2\x80\x94',b'Garmin Forerunner 15',b'\xe2\x80\x94'
2839055106,b'Reebok Floatride Run Fast #2 (Blue)\n(392.6 mi)',b'Garmin Forerunner 645 Music',b'323'
1857520388,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
228498664,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'713'
1890634309,b'Nike Vomero 11 Black\n(514.3 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
133469694,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
411194689,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1514925578,b'Altra Escalante Racer Boston\n(626.4 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1946187044,"b'HOKA ONE ONE Clifton 4\n(3,265.0 mi)'",b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
818814760,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
411823813,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
1262874229,b'Brooks Ghost\n(583.4 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1512504291,b'Saucony kinvara 7\n(138.7 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1512503805,b'Skora Core\n(564.1 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1524775029,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'\xe2\x80\x94'
2068656642,b'\xe2\x80\x94',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
555881120,b'Mizuno Wave\n(538.5 mi)',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
206562694,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'\xe2\x80\x94'
949471130,b'\xe2\x80\x94',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
1946188254,b'Nike Pegasus Turbo\n(359.6 mi)',b'Garmin Forerunner 235',b'669'
697493789,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
946502658,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1845297718,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1890587545,b'adidas Boston 6\n(579.2 mi)',b'Garmin v\xc3\xadvoactive 3',b'\xe2\x80\x94'
401258261,"b'adidas boost glide\n(4,708.9 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
1890533621,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
531030170,"b'Brooks PureGrit\n(1,412.8 mi)'",b'Garmin Forerunner 110',b'\xe2\x80\x94'
207507892,b'Newton Distance - Pink\n(122.1 mi)',b'Garmin Forerunner 210',b'\xe2\x80\x94'
294518728,b'\xe2\x80\x94',b'Garmin Forerunner 210',b'\xe2\x80\x94'
1199999413,"b'New Balance RV 1400\n(2,988.8 mi)'",b'Garmin f\xc4\x93nix 5X',b'355'
1946496228,b'\xe2\x80\x94',b'Garmin Forerunner 645',b'\xe2\x80\x94'
1845304654,b'adidas adios boost\n(299.8 mi)',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
2751273388,b'HOKA ONE ONE Ravina\n(58.9 mi)',b'\xe2\x80\x94',b'723'
424769188,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1890707611,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
426328966,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
549390861,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'334'
549476480,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1681961489,b'\xe2\x80\x94',b'Garmin v\xc3\xadvoactive',b'\xe2\x80\x94'
1524939763,b'\xe2\x80\x94',b'Suunto Ambit3 Sport',b'\xe2\x80\x94'
1221250692,"b'Newton Distance\n(2,261.6 mi)'",b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
132991090,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
426619740,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
549486627,b'Nike Free RN Distance\n(561.8 mi)',b'Garmin Forerunner 920XT',b'575'
1890547434,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5X Plus',b'356'
1222331666,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
424744653,"b'Saucony Cortana 2 (White/Red)\n(12,642.2 mi)'",b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1534745035,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1890449557,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
2325308822,b'Nike Pegasus Turbo\n(456.6 mi)',b'Garmin Forerunner 645 Music',b'313'
2749259462,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5S',b'429'
1200545244,b'New Balance Zante v2\n(428.5 mi)',b'Polar V800',b'229'
1845141712,b'adidas Adizero Boston\n(45.8 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
411128326,b'adidas Energy Boost\n(662.5 mi)',b'Garmin Forerunner 620',b'220'
424664854,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1890418905,b'Nike VaporFly 4%\n(211.1 mi)',b'\xe2\x80\x94',b'294'
1524890056,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
531101518,b'adidas Ultra Boost ST\n(402.7 mi)',b'Garmin Forerunner 210',b'\xe2\x80\x94'
209369412,b'Saucony Omni 12 (red/black)\n(222.7 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
